r_ID,r_birth_yr,r_gender,r_race,r_edu_yrs,r_edu_high_deg,r_edu_sum,r_child_born,r_age_ss_payments,r1_labor_status,r2_labor_status,r3_labor_status,r4_labor_status,r5_labor_status,r6_labor_status,r7_labor_status,r8_labor_status,r9_labor_status,r10_labor_status,r11_labor_status,r12_labor_status,r13_labor_status,r14_labor_status,r15_labor_status,r16_labor_status
201135010,1918.0,1.0,1.0,16.0,5.0,5.0,3.0,,,,5.0,5.0,5.0,,,,,,,,,,,
201135020,1922.0,2.0,1.0,14.0,4.0,4.0,3.0,,,,7.0,7.0,7.0,,,,7.0,,,,,,,
201136010,1918.0,2.0,1.0,12.0,2.0,3.0,2.0,,,,,4.0,7.0,5.0,5.0,7.0,7.0,5.0,5.0,,,,,
201137010,1916.0,1.0,1.0,15.0,3.0,4.0,6.0,,,,5.0,5.0,5.0,,,,,,,,,,,
201140010,1917.0,2.0,1.0,14.0,4.0,4.0,0.0,,,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,
201141010,1920.0,2.0,1.0,13.0,3.0,4.0,1.0,,,2.0,4.0,5.0,5.0,5.0,5.0,,,,,,,,,
201142010,1904.0,2.0,1.0,14.0,3.0,4.0,0.0,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,
201144010,1922.0,1.0,1.0,13.0,3.0,4.0,3.0,841.0,,2.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,,,,,,,
201144020,1944.0,2.0,1.0,12.0,2.0,3.0,2.0,612.0,,,6.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,
201144021,1955.0,1.0,1.0,16.0,5.0,5.0,2.0,,,,,,,,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0
201145010,1919.0,2.0,1.0,12.0,2.0,3.0,2.0,,,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,
201146010,1919.0,2.0,1.0,12.0,2.0,3.0,4.0,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,
201148010,1922.0,1.0,1.0,12.0,2.0,3.0,3.0,,,5.0,5.0,5.0,5.0,5.0,,5.0,,,5.0,,,,,
201148011,1950.0,2.0,3.0,12.0,2.0,3.0,1.0,,,,,,,7.0,,7.0,,,5.0,5.0,,,,
201148020,1927.0,2.0,1.0,12.0,0.0,1.0,2.0,,,5.0,5.0,,,,,,,,,,,,,
201149010,1912.0,2.0,3.0,16.0,5.0,5.0,2.0,817.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,
201151010,1914.0,1.0,3.0,14.0,5.0,5.0,2.0,,,5.0,,5.0,5.0,5.0,,,,,,,,,,
201151020,1922.0,2.0,3.0,15.0,4.0,4.0,2.0,,,,,,,,,,,,,,,,,
